GameServerID	GameTypeID	PortNumber	Verbose	Stale	Threshold	Description	Comment
server0hl1	hl1	27101	FALSE	FALSE	300	server0hl1 - Half-Life (HL1)	
server1dmc	dmc	27103	FALSE	FALSE	300	server1dmc - Deathmatch Classic (DMC)	
server2tfc	tfc	27105	FALSE	FALSE	300	server2tfc - Team Fortress Classic (TFC)	
server3tf2	tf2	27107	FALSE	FALSE	900	server3tf2 - Team Fortress 2 (TF2)	
server4cs1	cs1	27109	FALSE	FALSE	300	server4cs1 - Counter-Strike 1.6 (CS1)	
server5css	css	27111	FALSE	FALSE	900	server5css - Counter-Strike:Source (CSS)	
server6cs2	cs2	27113	FALSE	FALSE	900	server6cs2 - Counter-Strike 2 (CS2)	
server7dod	dod	27115	FALSE	FALSE	300	server7dod - Day of Defeat (DoD)	
server8dods	dods	27117	FALSE	FALSE	900	server8dods - Day of Defeat:Source (DoDS)	
server9fof	fof	27119	FALSE	FALSE	900	server9fof - Fistful of Frags (FoF)	
